FFP FOOTPRINT classification, Site: 20190618114259310
Area,Class=1 within footprint,Class=2 within footprint,Class=3 within footprint,Class=4 within footprint,Class=5 within footprint
10%, 0.483, 0.017, 0.138, 0.000, 0.362
20%, 0.471, 0.035, 0.209, 0.000, 0.285
30%, 0.456, 0.040, 0.264, 0.011, 0.229
40%, 0.431, 0.025, 0.279, 0.040, 0.225
50%, 0.454, 0.020, 0.278, 0.029, 0.218
60%, 0.450, 0.017, 0.295, 0.031, 0.207
70%, 0.438, 0.023, 0.281, 0.040, 0.218
80%, 0.395, 0.033, 0.291, 0.047, 0.234
90%, 0.372, 0.045, 0.278, 0.078, 0.228
Domain, 0.266, 0.043, 0.325, 0.218, 0.148
nk, 18-Jun-2019
